paper_id,题名,简称,venue全称,venue类型,发表年份,DOI,CCF等级,CCF目录,CCF备注,层次,场景,主题标签,论文自身输出对象,与本文关系（检索线索）,题名说明,全部作者,官方链接,开放全文链接,代码链接,身份核验来源,身份核验状态,核验路径,内容阅读深度,最后核验日期,发现来源,候选ID,访问状态,摘要
RW0001,Netrca: An Effective Network Fault Cause Localization Algorithm,,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",会议论文,2022,10.1109/icassp43922.2022.9747882,B,CCF 第七版（2026-03-31）,,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,seed from existing repository material,,Chaoli Zhang; Zhiqiang Zhou; Yingying Zhang; Linxiao Yang; Kai He; Qingsong Wen; Liang Sun,https://doi.org/10.1109/icassp43922.2022.9747882,,,Crossref 题名检索,已核实,title,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,seed:docs-related-work,C0314,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0002,An Empirical Study of NetOps Capability of Pre-Trained Large Language Models,,,,2023,,待核实,,提供方未返回 venue 字段，无法定级,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,Early systematic measurement of LLM NetOps capability; baseline for the limitation narrative.,,"Miao, Yukai; Bai, Yu; Chen, Li; Li, Dan; Sun, Haifeng; Wang, Xizheng; Luo, Ziqiu; Ren, Yanyu; Sun, Dapeng; Xu, Xiuting; Zhang, Qi; Xiang, Chao; Li, Xinchi",https://arxiv.org/abs/2309.05557,,,出版方页面 citation_* 元数据,已核实,page-curl,摘要已读（缓存页面 240b7169d36c539a4362.curl（页面自述题名匹配 1.00））；全文未逐节阅读,2026-09-15,agent:llmnet,C0143,仅有页面链接；未验证可读性,"Nowadays, the versatile capabilities of Pre-trained Large Language Models (LLMs) have attracted much attention from the industry. However, some vertical domains are more interested in the in-domain capabilities of LLMs. For the Networks domain, we present NetEval, an evaluation set for measuring the comprehensive capabilities of LLMs in Network Operations (NetOps). NetEval is designed for evaluating the commonsense knowledge and inference ability in NetOps in a multi-lingual context. NetEval consists of 5,732 questions about NetOps, covering five different sub-domains of NetOps. With NetEval, we systematically evaluate the NetOps capability of 26 publicly available LLMs. The results show that only GPT-4 can achieve a performance competitive to humans. However, some open models like LLaMA 2 demonstrate significant potential."
RW0003,Automated Root Causing of Cloud Incidents using In-Context Learning with GPT-4,,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,会议论文,2024,10.1145/3663529.3663846,不适用（Companion/Workshop 等非正式论文轨道）,CCF 第七版（2026-03-31）,轨道为 workshop/companion —— 不继承主会等级，CCF 目录不计入，故不继承主会 B,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,In-context-learning RCA from cloud incident data; a standard baseline for LLM-based incident root causing.,,Xuchao Zhang; Supriyo Ghosh; Chetan Bansal; Rujia Wang; Minghua Ma; Yu Kang; Saravan Rajmohan,https://doi.org/10.1145/3663529.3663846,,,Crossref DOI 记录,已核实,doi,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0146,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0004,Automatic Root Cause Analysis via Large Language Models for Cloud Incidents,,Proceedings of the Nineteenth European Conference on Computer Systems,会议论文,2024,10.1145/3627703.3629553,A,CCF 第七版（2026-03-31）,,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,seed from existing repository material,,Yinfang Chen; Huaibing Xie; Minghua Ma; Yu Kang; Xin Gao; Liu Shi; Yunjie Cao; Xuedong Gao; Hao Fan; Ming Wen; Jun Zeng; Supriyo Ghosh; Xuchao Zhang; Chaoyun Zhang; Qingwei Lin; Saravan Rajmohan; Dongmei Zhang; Tianyin Xu,https://doi.org/10.1145/3627703.3629553,,,Crossref 题名检索,已核实,title,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,seed:docs-related-work,C0311,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0005,Exploring LLM-Based Agents for Root Cause Analysis,,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,会议论文,2024,10.1145/3663529.3663841,不适用（Companion/Workshop 等非正式论文轨道）,CCF 第七版（2026-03-31）,轨道为 workshop/companion —— 不继承主会等级，CCF 目录不计入，故不继承主会 B,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,"Highly cited study of LLM agents (tool use, planning) for RCA; used here as the forward-citation seed for the RCA-agent literature.",,Devjeet Roy; Xuchao Zhang; Rashi Bhave; Chetan Bansal; Pedro Las-Casas; Rodrigo Fonseca; Saravan Rajmohan,https://doi.org/10.1145/3663529.3663841,,,Crossref DOI 记录,已核实,doi,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0145,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0006,NetConfEval: Can LLMs Facilitate Network Configuration?,,Proceedings of the ACM on Networking,期刊论文,2024,10.1145/3656296,B,CCF 第七版（2026-03-31）,PACMNET 是 CoNEXT 的期刊式论文集，按 CoNEXT 等级记录,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,Benchmark for LLM network-configuration capability with verification-grounded evaluation; establishes how much network reasoning LLMs actually have.,,Changjie Wang; Mariano Scazzariello; Alireza Farshin; Simone Ferlin; Dejan Kostić; Marco Chiesa,https://doi.org/10.1145/3656296,,,Crossref DOI 记录,已核实,doi,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0139,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0007,NetLLM: Adapting Large Language Models for Networking,,Proceedings of the ACM SIGCOMM 2024 Conference,会议论文,2024,10.1145/3651890.3672268,A,CCF 第七版（2026-03-31）,,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,Adapts LLMs to networking tasks including multimodal network telemetry; the canonical SIGCOMM LLM-for-networking system paper.,,Duo Wu; Xianda Wang; Yaqi Qiao; Zhi Wang; Junchen Jiang; Shuguang Cui; Fangxin Wang,https://doi.org/10.1145/3651890.3672268,,,Crossref DOI 记录,已核实,doi,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0140,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
RW0008,Retrieval Augmented Generation-Based Incident Resolution Recommendation System for IT Support,,arXiv.org,页面元数据,2024,,不适用（预印本）,,预印本，不继承会议等级,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,RAG over historical incident records to recommend resolutions; evidence for retrieval-augmented diagnosis over tickets.,,"Isaza, Paulina Toro; Nidd, Michael; Zheutlin, Noah; Ahn, Jae-wook; Bhatt, Chidansh Amitkumar; Deng, Yu; Mahindru, Ruchi; Franz, Martin; Florian, Hans; Roukos, Salim",https://arxiv.org/abs/2409.13707,,,出版方页面 citation_* 元数据,已核实,page,摘要已读（缓存页面 bf7fe0f1447001163cca.html（页面自述题名匹配 1.00））；全文未逐节阅读,2026-09-15,agent:llmnet,C0157,仅有页面链接；未验证可读性,"Clients wishing to implement generative AI in the domain of IT Support and AIOps face two critical issues: domain coverage and model size constraints due to model choice limitations. Clients might choose to not use larger proprietary models such as GPT-4 due to cost and privacy concerns and so are limited to smaller models with potentially less domain coverage that do not generalize to the client's domain. Retrieval augmented generation is a common solution that addresses both of these issues: a retrieval system first retrieves the necessary domain knowledge which a smaller generative model leverages as context for generation. We present a system developed for a client in the IT Support domain for support case solution recommendation that combines retrieval augmented generation (RAG) for answer generation with an encoder-only model for classification and a generative large language model for query generation. We cover architecture details, data collection and annotation, development journey and preliminary validations, expected final deployment process and evaluation plans, and finally lessons learned."
RW0009,A Network Arena for Benchmarking AI Agents on Network Troubleshooting,,arXiv preprint,预印本,2025,,不适用（预印本）,,预印本，不继承会议等级,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,"Largest public network-troubleshooting agent benchmark; hundreds of incidents across five scenarios including data centers, 54 network issues. Key finding: models detect but fail to localize faults and identify root causes.",,"Wang, Zhihao; Cornacchia, Alessandro; Sacco, Alessio; Galante, Franco; Canini, Marco; Jiang, Dingde",https://arxiv.org/abs/2512.16381,,,arXiv abs 页元数据,已核实,arxiv,摘要已读（缓存页面 c645104e3e0a811e1c80.html（页面自述题名匹配 1.00））；全文未逐节阅读,2026-09-15,agent:llmnet,C0129,仅有页面链接；未验证可读性,"Agentic systems, powered by Large Language Models (LLMs), assist network engineers with network configuration synthesis and network troubleshooting tasks. For network troubleshooting, progress is hindered by the absence of standardized and accessible benchmarks for evaluating LLM agents in dynamic network settings at low operational effort. We present NIKA, the largest public benchmark to date for LLM-driven network incident diagnosis and troubleshooting. NIKA targets both domain experts and especially AI researchers alike, providing zero-effort replay of real-world network scenarios, and establishing well-defined agent-network interfaces for quick agent prototyping. NIKA comprises hundreds of curated network incidents, spanning five network scenarios, from data centers to ISP networks, and covers 54 representative network issues. Lastly, NIKA is modular and extensible by design, offering APIs to facilitate the integration of new network scenarios and failure cases. We evaluate state-of-the-art LLM agents on NIKA and find that while larger models succeed more often in detecting network issues, they still struggle to localize faults and identify root causes. NIKA is open-source and available to the community: https://github.com/sands-lab/nika."
RW0010,A Survey of AIOps in the Era of Large Language Models,,ACM Computing Surveys,期刊论文,2025,10.1145/3746635,待核实,,官方目录解析结果中未定位到 ACM Computing Surveys 条目,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,Recent authoritative AIOps plus LLM survey; used for systematic omission checking across the AIOps sub-topic.,,Lingzhe Zhang; Tong Jia; Mengxi Jia; Yifan Wu; Aiwei Liu; Yong Yang; Zhonghai Wu; Xuming Hu; Philip Yu; Ying Li,https://doi.org/10.1145/3746635,,,Crossref DOI 记录,已核实,doi,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0166,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,
