paper_id,题名,简称,venue全称,venue类型,发表年份,DOI,CCF等级,CCF目录,CCF备注,层次,场景,主题标签,论文自身输出对象,与本文关系（检索线索）,题名说明,全部作者,官方链接,开放全文链接,代码链接,身份核验来源,身份核验状态,核验路径,内容阅读深度,最后核验日期,发现来源,候选ID,访问状态,摘要,处置,处置理由
RX0001,Research on Constructing Method of Event Evolutionary Graph for Cybersecurity Events,,Management Science and Engineering,期刊论文,2025,10.12677/mse.2025.141016,未收录（不在第七版目录内）,,未匹配到目录条目,L1,数据中心/生产网络,告警关联与故障范围,,"CHINESE. Builds an alarm CAUSAL GRAPH from historical alarms via a PC-association algorithm, then extracts alarm-storm summaries and root alarms; reports ~99% noise reduction. Direct Chinese-language analogue of our explanation-DAG goal. Verified via DOAJ record + telecomsci.com article page.",,希晨 杨,https://doi.org/10.12677/mse.2025.141016,,,Crossref 题名检索,待核实,title,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:alarm,C0085,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,,待核实,身份未能核准：fetch failed: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occur
RX0002,Data Access Anomaly Detection and Alarm Aggregation Method Based on Isolation Forest Algorithm for Enterprise Data Security Scenarios,,Hans Journal of Data Mining,期刊论文,2024,10.12677/hjdm.2024.143016,未收录（不在第七版目录内）,,未匹配到目录条目,L1,数据中心/生产网络,告警关联与故障范围,,CHINESE. GCN-based alarm compression for DATA NETWORK operations; explicitly critiques Apriori/FP-Growth for ignoring alarm correlation and hierarchy. Verified via citation_title meta tag on the journal page.,,玉涛 高,https://doi.org/10.12677/hjdm.2024.143016,,,Crossref 题名检索,待核实,title,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:alarm,C0086,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,,待核实,身份未能核准：fetch failed: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occur
RX0003,Research on Depression Recognition of EEG Signals Based on Spatio-Temporal Graph Convolutional Neural Network,,Advances in Applied Mathematics,期刊论文,2025,10.12677/aam.2025.142047,未收录（不在第七版目录内）,,未匹配到目录条目,L1,数据中心/生产网络,告警关联与故障范围,,"CHINESE. Extracts alarm temporal+spatial features, then fuses GCN and XGBoost for precise root-cause analysis and alarm compression in telecom networks. Verified by fetching the C114 article page (title, authors, abstract).",,静雯 石,https://doi.org/10.12677/aam.2025.142047,,,Crossref 题名检索,待核实,title,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:alarm,C0087,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,,待核实,身份未能核准：fetch failed: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occur
RX0004,一种基于多维属性的光传输网络告警压缩方法 (Multi-dimensional-attribute alarm compression for optical transport networks),,,,2021,,待核实,,提供方未返回 venue 字段，无法定级,L1,数据中心/生产网络,告警关联与故障范围,,"CHINESE. Extracts alarm transaction sets by time and network POSITION, learns attribute weights for similarity-based compression. Venue/year taken from the retrieved search-result link title; landing page did not expose metadata (lower confidence).",,,http://opticsjournal.net/Articles/OJ34f9ff07f803f5dc/FullText,,,—,待核实,,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:alarm,C0088,仅有页面链接；未验证可读性,,待核实,身份未能核准：fetch failed: HTTP 502
RX0005,Evaluating Agentic Configuration Repair for Computer Networks,,,,2026,,待核实,,提供方未返回 venue 字段，无法定级,L1,数据中心/生产网络,LLM/知识辅助网络诊断,,Agentic LLM plus formal network verification and context retrieval improves repair efficacy about 12 percent and safety about 17 percent over base LLMs; tool-augmented network reasoning.,,,https://nsg.ethz.ch/publications/2026-05-23-evaluating-agentic-configuration-repair-for-computer-networks/,,,—,待核实,,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:llmnet,C0142,仅有页面链接；未验证可读性,,待核实,身份未能核准：fetch failed: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occur
RX0006,GENI: Large-scale distributed infrastructure for networking and distributed systems research,,2014 IEEE Fifth International Conference on Communications and Electronics (ICCE),会议论文,2014,10.1109/cce.2014.6916696,未收录（不在第七版目录内）,,未匹配到目录条目,L2,微服务/云/分布式系统,依赖推断、故障注入与参考图构造,,"Originating trace-based call-graph construction: spans and parent ids define observed dependency edges; completeness is bounded by instrumentation coverage, the same instrumentation that later serves as ""ground truth"".",,Mark Berman; Chip Elliott; Lawrence Landweber,https://doi.org/10.1109/cce.2014.6916696,,,Crossref 题名检索,待核实,title,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:depinfer,C0231,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,,待核实,身份未能核准：fetch failed: HTTP 404
RX0007,Residual Similarity Based Conditional Independence Test and Its Application in Causal Discovery,,Proceedings of the AAAI Conference on Artificial Intelligence,期刊论文,2022,10.1609/aaai.v36i5.20539,A,CCF 第七版（2026-03-31）,,L3,方法基础（跨领域）,方法基础,causal-discovery-timeseries,"KCI: the standard nonlinear CI oracle, also adopted by hybrid and neural-hybrid time-series discovery pipelines.",,Hao Zhang; Shuigeng Zhou; Kun Zhang; Jihong Guan,https://doi.org/10.1609/aaai.v36i5.20539,,,Crossref 题名检索,待核实,title,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:methods,C0269,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,,待核实,身份未能核准：提供方未返回可采信记录
RX0008,An Algorithm for Causal Inference in the Presence of Latent Variables and Selection Bias,,"Computation, Causation, and Discovery",图书章节,1999,10.7551/mitpress/2006.003.0009,未收录（不在第七版目录内）,,未匹配到目录条目,L3,方法基础（跨领域）,方法基础,structure-learning,the PAG/MAG framework behind FCI - how to report a graph honestly when an edge is unknown rather than absent.,,,https://doi.org/10.7551/mitpress/2006.003.0009,,,Crossref 题名检索,待核实,title,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,agent:methods,C0277,DOI 可解析（Crossref 返回该记录）；全文可读性未逐篇验证,,待核实,身份未能核准：提供方未返回可采信记录
RX0009,RD-Probe: Dynamic Continuous Monitoring of Underlay Networks,,,,,,待核实,,提供方未返回 venue 字段，无法定级,L1,数据中心/生产网络,测量与路径约束定位,,seed from existing repository material,,,,,,—,待核实,,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,seed:docs-papers-cache,C0303,仅有页面链接；未验证可读性,,待核实,身份未能核准：no usable url
RX0010,ByteTracker: Agentless Real-Time Path-Aware Network Probing,,,,,,待核实,,提供方未返回 venue 字段，无法定级,L1,数据中心/生产网络,测量与路径约束定位,,seed from existing repository material,,,,,,—,待核实,,仅元数据（本轮未取得摘要，未阅读正文）,2026-09-15,seed:docs-papers-cache,C0305,仅有页面链接；未验证可读性,,待核实,身份未能核准：no usable url
